title,link,published,thumbnail,location,summary,source
CWS Sanitation Truck driver spreads kindness throughout Lexington - WIS News 10,https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vd3d3Lndpc3R2LmNvbS8yMDI0LzA2LzA2L2N3cy1zYW5pdGF0aW9uLXRydWNrLWRyaXZlci1zcHJlYWRzLWtpbmRuZXNzLXRocm91Z2hvdXQtbGV4aW5ndG9uL9IBcmh0dHBzOi8vd3d3Lndpc3R2LmNvbS8yMDI0LzA2LzA2L2N3cy1zYW5pdGF0aW9uLXRydWNrLWRyaXZlci1zcHJlYWRzLWtpbmRuZXNzLXRocm91Z2hvdXQtbGV4aW5ndG9uLz9vdXRwdXRUeXBlPWFtcA?oc=5,2024-06-06 10:48:00,https://gray-wistv-prod.cdn.arcpublishing.com/resizer/v2/C4WVZOSVTRBLHJXEE4JWCIVHIQ.bmp?auth=43a29e13c2182e3625c68311edd82022a7f6935bbc579cbca86d8e71963dfcf2&width=1200&height=600&smart=true,"(38.0464066, -84.4970393)","<a href=""https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vd3d3Lndpc3R2LmNvbS8yMDI0LzA2LzA2L2N3cy1zYW5pdGF0aW9uLXRydWNrLWRyaXZlci1zcHJlYWRzLWtpbmRuZXNzLXRocm91Z2hvdXQtbGV4aW5ndG9uL9IBcmh0dHBzOi8vd3d3Lndpc3R2LmNvbS8yMDI0LzA2LzA2L2N3cy1zYW5pdGF0aW9uLXRydWNrLWRyaXZlci1zcHJlYWRzLWtpbmRuZXNzLXRocm91Z2hvdXQtbGV4aW5ndG9uLz9vdXRwdXRUeXBlPWFtcA?oc=5"" target=""_blank"">CWS Sanitation Truck driver spreads kindness throughout Lexington</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WIS News 10</font>",Google News
Simple Kindness for Youth Excited to Bring Chicken Bingo Back to Bridgefest - keweenawreport.com,https://news.google.com/rss/articles/CBMic2h0dHA6Ly93d3cua2V3ZWVuYXdyZXBvcnQuY29tL2ZlYXR1cmVkL3NpbXBsZS1raW5kbmVzcy1mb3IteW91dGgtZXhjaXRlZC10by1icmluZy1jaGlja2VuLWJpbmdvLWJhY2stdG8tYnJpZGdlZmVzdC_SAQA?oc=5,2024-06-07 15:33:16,http://www.keweenawreport.com/wp-content/uploads/2017/09/SKY-Simple-Kindness-For-Youth-660x330.jpg,"(38.458269200000004, -78.0161608008969)","<a href=""https://news.google.com/rss/articles/CBMic2h0dHA6Ly93d3cua2V3ZWVuYXdyZXBvcnQuY29tL2ZlYXR1cmVkL3NpbXBsZS1raW5kbmVzcy1mb3IteW91dGgtZXhjaXRlZC10by1icmluZy1jaGlja2VuLWJpbmdvLWJhY2stdG8tYnJpZGdlZmVzdC_SAQA?oc=5"" target=""_blank"">Simple Kindness for Youth Excited to Bring Chicken Bingo Back to Bridgefest</a>&nbsp;&nbsp;<font color=""#6f6f6f"">keweenawreport.com</font>",Google News
4th Annual Kindness Blossoms Award Ceremony - COLlive,https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vY29sbGl2ZS5jb20vNHRoLWFubnVhbC1raW5kbmVzcy1ibG9zc29tcy1hd2FyZC1jZXJlbW9ueS_SAQA?oc=5,2024-06-06 20:57:15,C:/Users/Mikael Lemieux/Documents/Scripts/Curling_Scripts/Imagery/Curling News.png,,"<a href=""https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vY29sbGl2ZS5jb20vNHRoLWFubnVhbC1raW5kbmVzcy1ibG9zc29tcy1hd2FyZC1jZXJlbW9ueS_SAQA?oc=5"" target=""_blank"">4th Annual Kindness Blossoms Award Ceremony</a>&nbsp;&nbsp;<font color=""#6f6f6f"">COLlive</font>",Google News
"Random Acts of Kindness: On his way to a military funeral, this veteran and his car got a lift - Pittsburgh Post-Gazette",https://news.google.com/rss/articles/CBMimQFodHRwczovL3d3dy5wb3N0LWdhemV0dGUuY29tL2xpZmUvZ29vZG5lc3MvMjAyNC8wNi8wNi9yYW5kb20tYWN0cy1vZi1raW5kbmVzcy1taWxpdGFyeS1mdW5lcmFsLWZsYXQtdGlyZS1oaWxsY3Jlc3QtY2hyaXN0aWFuLWFjYWRlbXkvc3Rvcmllcy8yMDI0MDYwNjAwMTHSAQA?oc=5,2024-06-06 09:30:00,https://9b16f79ca967fd0708d1-2713572fef44aa49ec323e813b06d2d9.ssl.cf2.rackcdn.com/1140x_a10-7_cTC/web-20230820-goodrak-flat-tire-repair-jpg-1717512920.jpg,,"<a href=""https://news.google.com/rss/articles/CBMimQFodHRwczovL3d3dy5wb3N0LWdhemV0dGUuY29tL2xpZmUvZ29vZG5lc3MvMjAyNC8wNi8wNi9yYW5kb20tYWN0cy1vZi1raW5kbmVzcy1taWxpdGFyeS1mdW5lcmFsLWZsYXQtdGlyZS1oaWxsY3Jlc3QtY2hyaXN0aWFuLWFjYWRlbXkvc3Rvcmllcy8yMDI0MDYwNjAwMTHSAQA?oc=5"" target=""_blank"">Random Acts of Kindness: On his way to a military funeral, this veteran and his car got a lift</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Pittsburgh Post-Gazette</font>",Google News
Human kindness is a frequent and universal behavior. - Psychology Today,https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LnBzeWNob2xvZ3l0b2RheS5jb20vdXMvYmxvZy9mcmF6emxlYnJhaW4vMjAyNDA2L3RoZS1teXN0ZXJ5LW9mLWh1bWFuLWtpbmRuZXNz0gFdaHR0cHM6Ly93d3cucHN5Y2hvbG9neXRvZGF5LmNvbS91cy9ibG9nL2ZyYXp6bGVicmFpbi8yMDI0MDYvdGhlLW15c3Rlcnktb2YtaHVtYW4ta2luZG5lc3M_YW1w?oc=5,2024-06-06 21:12:03,https://cdn2.psychologytoday.com/assets/styles/manual_crop_1_91_1_1528x800/public/teaser_image/blog_entry/2024-06/ditto-bowo-Fnv_6O4stLg-unsplash.jpg?itok=gIy1AjPq,"(32.9594891, -117.2653146)","<a href=""https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LnBzeWNob2xvZ3l0b2RheS5jb20vdXMvYmxvZy9mcmF6emxlYnJhaW4vMjAyNDA2L3RoZS1teXN0ZXJ5LW9mLWh1bWFuLWtpbmRuZXNz0gFdaHR0cHM6Ly93d3cucHN5Y2hvbG9neXRvZGF5LmNvbS91cy9ibG9nL2ZyYXp6bGVicmFpbi8yMDI0MDYvdGhlLW15c3Rlcnktb2YtaHVtYW4ta2luZG5lc3M_YW1w?oc=5"" target=""_blank"">Human kindness is a frequent and universal behavior.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Psychology Today</font>",Google News
New Orleans actor works with Emma Stone and Hong Chau in NOLA-shot 'Kinds of Kindness' - NOLA.com,https://news.google.com/rss/articles/CBMikAFodHRwczovL3d3dy5ub2xhLmNvbS9lbnRlcnRhaW5tZW50X2xpZmUvamFxdWFuLW1vbnJvZS1oZW5kZXJzb24taW4tbm9sYS1zaG90LWtpbmRzLW9mLWtpbmRuZXNzL2FydGljbGVfMjI4NzlmMTItMjM2OC0xMWVmLThkYzYtMzNiOTkzZWE1MTNlLmh0bWzSAZQBaHR0cHM6Ly93d3cubm9sYS5jb20vZW50ZXJ0YWlubWVudF9saWZlL2phcXVhbi1tb25yb2UtaGVuZGVyc29uLWluLW5vbGEtc2hvdC1raW5kcy1vZi1raW5kbmVzcy9hcnRpY2xlXzIyODc5ZjEyLTIzNjgtMTFlZi04ZGM2LTMzYjk5M2VhNTEzZS5hbXAuaHRtbA?oc=5,2024-06-06 14:30:00,https://bloximages.newyork1.vip.townnews.com/nola.com/content/tncms/assets/v3/editorial/6/e9/6e97ac12-2368-11ef-b29e-bfbbeb4a053d/6660acab13e48.image.jpg?crop=1107%2C581%2C38%2C386&resize=1107%2C581&order=crop%2Cresize,"(29.9759983, -90.0782127)","<a href=""https://news.google.com/rss/articles/CBMikAFodHRwczovL3d3dy5ub2xhLmNvbS9lbnRlcnRhaW5tZW50X2xpZmUvamFxdWFuLW1vbnJvZS1oZW5kZXJzb24taW4tbm9sYS1zaG90LWtpbmRzLW9mLWtpbmRuZXNzL2FydGljbGVfMjI4NzlmMTItMjM2OC0xMWVmLThkYzYtMzNiOTkzZWE1MTNlLmh0bWzSAZQBaHR0cHM6Ly93d3cubm9sYS5jb20vZW50ZXJ0YWlubWVudF9saWZlL2phcXVhbi1tb25yb2UtaGVuZGVyc29uLWluLW5vbGEtc2hvdC1raW5kcy1vZi1raW5kbmVzcy9hcnRpY2xlXzIyODc5ZjEyLTIzNjgtMTFlZi04ZGM2LTMzYjk5M2VhNTEzZS5hbXAuaHRtbA?oc=5"" target=""_blank"">New Orleans actor works with Emma Stone and Hong Chau in NOLA-shot 'Kinds of Kindness'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NOLA.com</font>",Google News
Letter: Who could dispute that America needs a return to kindness? - St. Louis Post-Dispatch,https://news.google.com/rss/articles/CBMimwFodHRwczovL3d3dy5zdGx0b2RheS5jb20vb3Bpbmlvbi9sZXR0ZXJzL2xldHRlci13aG8tY291bGQtZGlzcHV0ZS10aGF0LWFtZXJpY2EtbmVlZHMtYS1yZXR1cm4tdG8ta2luZG5lc3MvYXJ0aWNsZV9iY2M1NTk4Ni0yNDQ3LTExZWYtYmFiYi0zNzc2N2QzN2MwN2UuaHRtbNIBAA?oc=5,2024-06-07 10:45:00,https://bloximages.newyork1.vip.townnews.com/stltoday.com/content/tncms/assets/v3/editorial/b/cc/bcc55986-2447-11ef-babb-37767d37c07e/6662259b97720.preview.jpg?crop=1702%2C894%2C60%2C241&resize=1200%2C630&order=crop%2Cresize,"(38.6280278, -90.1910154)","<a href=""https://news.google.com/rss/articles/CBMimwFodHRwczovL3d3dy5zdGx0b2RheS5jb20vb3Bpbmlvbi9sZXR0ZXJzL2xldHRlci13aG8tY291bGQtZGlzcHV0ZS10aGF0LWFtZXJpY2EtbmVlZHMtYS1yZXR1cm4tdG8ta2luZG5lc3MvYXJ0aWNsZV9iY2M1NTk4Ni0yNDQ3LTExZWYtYmFiYi0zNzc2N2QzN2MwN2UuaHRtbNIBAA?oc=5"" target=""_blank"">Letter: Who could dispute that America needs a return to kindness?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">St. Louis Post-Dispatch</font>",Google News
Lunching seniors shocked by mystery stranger's act of kindness - SooToday,https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LnNvb3RvZGF5LmNvbS9oZWxwZXJzL2x1bmNoaW5nLXNlbmlvcnMtc2hvY2tlZC1ieS1teXN0ZXJ5LXN0cmFuZ2Vycy1hY3Qtb2Yta2luZG5lc3MtOTAyNDI2MdIBAA?oc=5,2024-06-07 17:00:00,https://www.vmcdn.ca/f/files/sootoday/images/business/east-end-husky/06-29-2019-east-end-husky-1.jpeg;w=1200;h=800;mode=crop,,"<a href=""https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LnNvb3RvZGF5LmNvbS9oZWxwZXJzL2x1bmNoaW5nLXNlbmlvcnMtc2hvY2tlZC1ieS1teXN0ZXJ5LXN0cmFuZ2Vycy1hY3Qtb2Yta2luZG5lc3MtOTAyNDI2MdIBAA?oc=5"" target=""_blank"">Lunching seniors shocked by mystery stranger's act of kindness</a>&nbsp;&nbsp;<font color=""#6f6f6f"">SooToday</font>",Google News
"Posterized June 2024: Kinds of Kindness, Janet Planet, Music & More - The Film Stage",https://news.google.com/rss/articles/CBMiLmh0dHBzOi8vdGhlZmlsbXN0YWdlLmNvbS9wb3N0ZXJpemVkLWp1bmUtMjAyNC_SAQA?oc=5,2024-06-07 12:04:11,https://thefilmstage.com/wp-content/uploads/2024/06/Kinds-of-Kindness-header.jpg,"(34.0980031, -118.329523)","<a href=""https://news.google.com/rss/articles/CBMiLmh0dHBzOi8vdGhlZmlsbXN0YWdlLmNvbS9wb3N0ZXJpemVkLWp1bmUtMjAyNC_SAQA?oc=5"" target=""_blank"">Posterized June 2024: Kinds of Kindness, Janet Planet, Music & More</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Film Stage</font>",Google News
"‘Survivor’ Issues Rare Statement To Viewers, Asks Them To “Please Consider Embracing Kindness” - Deadline",https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vZGVhZGxpbmUuY29tLzIwMjQvMDUvc3Vydml2b3ItaXNzdWVzLXN0YXRlbWVudC10by12aWV3ZXJzLWNvbnNpZGVyLWVtYnJhY2luZy1raW5kbmVzcy0xMjM1OTQ1Mzk5L9IBbWh0dHBzOi8vZGVhZGxpbmUuY29tLzIwMjQvMDUvc3Vydml2b3ItaXNzdWVzLXN0YXRlbWVudC10by12aWV3ZXJzLWNvbnNpZGVyLWVtYnJhY2luZy1raW5kbmVzcy0xMjM1OTQ1Mzk5L2FtcC8?oc=5,2024-05-30 07:00:00,https://deadline.com/wp-content/uploads/2024/05/Survivor_4613_SG_0063bc.jpg?w=1024,"(34.0980031, -118.329523)","<a href=""https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vZGVhZGxpbmUuY29tLzIwMjQvMDUvc3Vydml2b3ItaXNzdWVzLXN0YXRlbWVudC10by12aWV3ZXJzLWNvbnNpZGVyLWVtYnJhY2luZy1raW5kbmVzcy0xMjM1OTQ1Mzk5L9IBbWh0dHBzOi8vZGVhZGxpbmUuY29tLzIwMjQvMDUvc3Vydml2b3ItaXNzdWVzLXN0YXRlbWVudC10by12aWV3ZXJzLWNvbnNpZGVyLWVtYnJhY2luZy1raW5kbmVzcy0xMjM1OTQ1Mzk5L2FtcC8?oc=5"" target=""_blank"">‘Survivor’ Issues Rare Statement To Viewers, Asks Them To “Please Consider Embracing Kindness”</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Deadline</font>",Google News
